r Leichtsinn	lekkomyœlnoœæ 
entweder ... oder ...	albo ... albo ... 
s Eichhörnchen	wiewiórka 
e Libelle	wa¿ka 
gewerbliche Zwecke	cele przemys³owe 
e Sonnenfinsternis	zaæmienie S³oñca 
unterschätzen	nie doceniaæ, lekcewa¿yæ 
Widerstandskraft	odpornoœæ 
s Verdienst, -e	zas³uga (+ Pl.)
s Glanzstück	arcydzie³o 
e Füllfeder, -n	wieczne pióro (+ Pl.)
s Durchsetzungsvermögen	asertywnoœæ 
den Blick senken	opuszczaæ wzrok 
erkennbar	widoczny/rozpoznawalny 
r Teich, -e	staw (+ Pl.)
e Einsicht	wgl¹d/wyrozumia³oœæ 
r Zugang, ä-e	wejœcie, dostêp (+ Pl.)
nicht nur ... sondern auch ...	nie tylko ... ale tak¿e ... 
r Klettverschluss, ü-e	zapiêcie na rzepy (+ Pl.)
e Abneigung	niechêæ, antypatia 
r Meteorit schlägt ein	meteoryt uderza 
mittelfristig	œrednioterminowy 
freiwillig	dobrowolny, ochotniczy 
e Auskunft, ü-e	informacja, wiadomoœæ (+ Pl.)
e Narzisse, -n	narcyz (+ Pl.)
e Vernunft	rozs¹dek 
reizen	pobudzaæ/dra¿niæ/ciekawiæ 
hartnäckig	zawziêty 
e Vorsicht	przezornoœæ, ostro¿noœæ 
s Gewehr, -e	karabin (+ Pl.)
s Gefäß	naczynie 
r Samen, -	nasiono (+ Pl.)
sich polizeilich an-/abmelden	za-/wymeldowaæ siê na policji 
ganz von vorne	od samego pocz¹tku (np. zbudowaæ coœ) 
überfluten	wylaæ, zalaæ 
hin-ziehen	poci¹gaæ (kogoœ) 
eine Untervermietung ist nicht gestattet	podnajmowanie jest niedozwolone 
e Euphorie	euforia 
Das Eis trägt.	Lód jest twardy (wystarczaj¹co do je¿d¿enia na ³y¿wach). 
vermutlich	przypuszczalnie (ok. 60%) 
